

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

110.141  000.239  000.239: sourcing /home/coma/.config/nvim/configs/keybinds.vim
110.283  000.106  000.106: sourcing /home/coma/.config/nvim/configs/lightline.vim
110.504  000.186  000.186: sourcing /home/coma/.config/nvim/configs/medley.vim
110.594  000.055  000.055: sourcing /home/coma/.config/nvim/configs/nim.vim
110.648  000.021  000.021: sourcing /home/coma/.config/nvim/configs/previm.vim
110.721  000.043  000.043: sourcing /home/coma/.config/nvim/configs/quickrun.vim
110.772  000.020  000.020: sourcing /home/coma/.config/nvim/configs/scripts.vim
110.850  000.051  000.051: sourcing /home/coma/.config/nvim/configs/smartword.vim
110.949  000.068  000.068: sourcing /home/coma/.config/nvim/configs/syntastic.vim
111.114  000.132  000.132: sourcing /home/coma/.config/nvim/configs/tig.vim
111.181  000.033  000.033: sourcing /home/coma/.config/nvim/configs/twitvim.vim
111.238  000.027  000.027: sourcing /home/coma/.config/nvim/configs/varset.vim
111.308  000.040  000.040: sourcing /home/coma/.config/nvim/configs/vim-splash.vim
131.878  019.864  019.864: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/gruvbox/colors/gruvbox.vim
132.014  114.338  051.778: sourcing /home/coma/.config/nvim/init.vim
132.028  001.401: sourcing vimrc file(s)
149.599  014.098  014.098: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/EasyMotion.vim
150.398  000.218  000.218: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/UltiSnips/map_keys.vim
150.631  000.960  000.741: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/UltiSnips.vim
152.503  001.832  001.832: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/any-jump.vim
152.600  000.049  000.049: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/async.vim
152.856  000.180  000.180: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/bracey.vim
153.052  000.160  000.160: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/calendar.vim
154.236  001.147  001.147: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/closetag.vim
154.888  000.228  000.228: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/coc/rpc.vim
155.802  000.778  000.778: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/coc/util.vim
156.714  000.474  000.474: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/coc/client.vim
169.822  015.480  014.000: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/coc.vim
170.427  000.493  000.493: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/commentary.vim
170.532  000.058  000.058: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/ddu/commands.vim
170.615  000.044  000.044: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/ddu_rg.vim
171.012  000.357  000.357: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/denops/debug.vim
171.484  000.265  000.265: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops.vim
171.919  000.857  000.592: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/denops.vim
172.076  000.106  000.106: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/deol.vim
178.933  006.813  006.813: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/emmet.vim
179.756  000.277  000.277: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/eskk/commands.vim
179.873  000.846  000.569: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/eskk.vim
180.418  000.349  000.349: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/indent_guides.vim
181.621  001.698  001.349: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/indent_guides.vim
181.853  000.109  000.109: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/layoutplugin.vim
182.335  000.439  000.439: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/lexima.vim
182.475  000.084  000.084: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/mintodo.vim
183.458  000.937  000.937: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/molder.vim
183.710  000.184  000.184: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/mypy.vim
184.344  000.591  000.591: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/nanomap.vim
185.414  000.300  000.300: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/highlighter.vim
185.652  001.254  000.953: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/nim.vim
186.445  000.731  000.731: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/openbrowser.vim
186.609  000.105  000.105: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/plenary.vim
186.770  000.122  000.122: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/preview_markdown.vim
186.963  000.154  000.154: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/quickrun.vim
187.203  000.201  000.201: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/seiya.vim
187.665  000.412  000.412: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/smartword.vim
188.945  001.221  001.221: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/surround.vim
189.060  000.043  000.043: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/autoloclist.vim
189.144  000.035  000.035: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/balloons.vim
189.212  000.033  000.033: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/checker.vim
189.281  000.033  000.033: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/cursor.vim
189.394  000.036  000.036: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/highlighting.vim
189.461  000.032  000.032: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/loclist.vim
189.527  000.031  000.031: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/modemap.vim
189.595  000.032  000.032: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/notifiers.vim
189.661  000.032  000.032: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/registry.vim
189.736  000.033  000.033: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/signs.vim
191.093  001.009  001.009: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/syntastic/util.vim
456.486  000.149  000.149: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/autoloclist.vim
456.680  000.139  000.139: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/balloons.vim
457.125  000.400  000.400: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/checker.vim
